query_id,n_windows,spearman,spearman_defined,undefined_reason,tail_k,top_mean_damage,bottom_mean_damage,top_minus_bottom_damage,attention_max_window_y,attention_max_window_x,attention_max_ties,attention_max_damage,attention_max_damage_percentile,negative_damage_window_fraction,clean_hit_at_1,token_h,token_w,variant_forward_calls,max_variant_batch,min_variant_batch,clean_margin_delta_vs_source
152,484,0.08787859384004608,True,,48,-0.0022360856334368386,0.0005596280097961426,-0.0027957136432329812,12,10,1,0.004406750202178955,87.5776397515528,0.38016528925619836,1,23,23,16,32,4,2.3841857915707365e-07
66,484,0.08554960200580325,True,,48,-0.0014891003568967183,0.00024035448829332987,-0.0017294548451900482,11,12,1,-0.02182382345199585,0.6211180124223602,0.45661157024793386,0,23,23,16,32,4,-5.96046448100851e-08
355,484,0.23799356179454786,True,,48,0.0029849565277496972,0.00023405688504378,0.0027508996427059174,12,11,1,-0.005352795124053955,2.691511387163561,0.3305785123966942,1,23,23,16,32,4,1.7881393438168303e-07
589,484,0.31484674056033074,True,,48,0.0047087228546539945,-0.002506062388420105,0.0072147852430740995,12,10,1,-0.007927387952804565,3.1055900621118013,0.7210743801652892,1,23,23,16,32,4,1.4901161193847656e-07
241,484,-0.07568643409888672,True,,48,-0.006915568063656489,0.0009006348749001821,-0.007816202938556671,13,11,1,-0.012068524956703186,4.140786749482402,0.32231404958677684,0,23,23,16,32,4,-2.980232245708425e-08
234,484,0.16371013363800943,True,,48,0.007656391089161237,0.0004148402561744054,0.007241550832986832,12,11,1,0.015148401260375977,95.23809523809524,0.3739669421487603,1,23,23,16,32,4,-2.9802322387695312e-08
542,484,0.13841220919987066,True,,48,0.0056902772436539335,-0.0007544849067926407,0.006444762150446574,15,9,1,0.002319157123565674,82.40165631469979,0.628099173553719,1,23,23,16,32,4,-2.3841857904605135e-07
22,484,0.44332606393647095,True,,48,0.006632401918371518,0.0004049185663461685,0.00622748335202535,11,10,1,0.0016623735427856445,60.869565217391305,0.2768595041322314,1,23,23,16,32,4,2.0861625676937834e-07
474,484,0.31977866882719985,True,,48,0.005170498664180438,0.0002106986939907074,0.004959799970189731,10,11,1,0.019118040800094604,98.9648033126294,0.3119834710743802,1,23,23,16,32,4,5.960464477539063e-08
658,484,0.20003916583906942,True,,48,0.008106723427772522,-0.00048192404210567474,0.008588647469878197,11,10,1,0.008373290300369263,93.37474120082815,0.49586776859504134,1,23,23,16,32,4,-2.086162567138672e-07
313,484,0.18209643337388742,True,,48,0.007529931763807933,0.000246221199631691,0.007283710564176242,12,10,1,0.01132151484489441,97.10144927536231,0.36983471074380164,1,23,23,16,32,4,2.98023224015731e-08
