comparison,query_id,mask_ratio,left_margin_drop,right_margin_drop,left_descriptor_drift,right_descriptor_drift,left_positive_similarity_drop,right_positive_similarity_drop,left_rank_degradation,right_rank_degradation,left_failure_flip,right_failure_flip,left_hit_at_1,right_hit_at_1,left_hit_at_5,right_hit_at_5,left_hit_at_10,right_hit_at_10
attention_raw_topk-minus-attention_connected,720,0.1,-0.013363361358642578,-0.002944737672805786,0.3037480115890503,0.2909623980522156,0.07320907711982727,0.07535281777381897,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,437,0.1,0.1931210458278656,0.19928526878356934,0.41812098026275635,0.419103741645813,0.18835514783859253,0.19689440727233887,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,258,0.1,0.023911625146865845,0.05419403314590454,0.2975698709487915,0.28219759464263916,0.05841737985610962,0.06490945816040039,1,2,1,1,0,0,1,1,1,1
attention_raw_topk-minus-attention_connected,249,0.1,-0.0017496943473815918,-0.03641176223754883,0.3050565719604492,0.30111193656921387,0.12146472930908203,0.11724966764450073,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,476,0.1,-0.00989145040512085,-0.033909738063812256,0.3155163526535034,0.3498486280441284,0.07329845428466797,0.0589139461517334,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,18,0.1,0.019855082035064697,0.01630958914756775,0.2266157865524292,0.25869154930114746,0.08789682388305664,0.04754066467285156,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,358,0.1,0.0597575306892395,0.0988810807466507,0.32582545280456543,0.25130558013916016,0.05793294310569763,0.10087841749191284,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,670,0.1,0.11088442802429199,0.11088442802429199,0.3938911557197571,0.3938911557197571,0.1721523404121399,0.1721523404121399,1,1,1,1,0,0,1,1,1,1
attention_raw_topk-minus-attention_connected,210,0.1,0.07971423864364624,0.08328071236610413,0.3793054223060608,0.3309662342071533,0.1830124855041504,0.17160332202911377,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,549,0.1,0.10441049933433533,0.08041590452194214,0.3323565125465393,0.3274914026260376,0.10602867603302002,0.10751032829284668,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,511,0.1,0.06493839621543884,0.06714808940887451,0.46198606491088867,0.4518861770629883,0.21995526552200317,0.21667513251304626,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,473,0.1,0.1456964612007141,0.14266344904899597,0.4295198321342468,0.4400774836540222,0.17477726936340332,0.1842932403087616,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,608,0.1,0.16111892461776733,0.16111892461776733,0.33599793910980225,0.33599793910980225,0.18053007125854492,0.18053007125854492,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,409,0.1,0.06251686811447144,0.06206342577934265,0.23024189472198486,0.2527589797973633,0.05904000997543335,0.061568766832351685,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,429,0.1,0.11126139760017395,0.1282397210597992,0.3903105854988098,0.3314536213874817,0.10985776782035828,0.12268483638763428,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,550,0.1,0.16911306977272034,0.1682964712381363,0.3863847255706787,0.37373852729797363,0.17399677634239197,0.18540674448013306,0,0,0,0,1,1,1,1,1,1
