query_id,mask_ratio,clean_rank,attention_margin_drop,random_margin_drop,attention_descriptor_drift,random_descriptor_drift,attention_positive_similarity_drop,random_positive_similarity_drop,attention_rank_degradation,random_rank_degradation,attention_failure_flip,random_failure_flip,attention_hit_at_1,random_hit_at_1,attention_hit_at_5,random_hit_at_5,attention_hit_at_10,random_hit_at_10,paired_margin_difference,mask_mode,baseline,attention_condition
315,0.1,18,0.028020113706588745,0.006440740823745727,0.11542457342147827,0.07453871965408325,-0.017708808183670044,0.006522852182388306,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.021579372882843017,connected_topk,random_pixel,attention_connected
332,0.1,1,0.0123215913772583,0.0014649391174316405,0.2819252014160156,0.07793718576431274,0.0028683245182037354,0.003760141134262085,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.01085665225982666,connected_topk,random_pixel,attention_connected
544,0.1,1,0.1406872272491455,0.056968897581100464,0.3085983991622925,0.1012604832649231,0.14183223247528076,0.04081915616989136,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.08371832966804504,connected_topk,random_pixel,attention_connected
43,0.1,1,0.06804601848125458,0.04733690619468689,0.30058562755584717,0.18381388187408448,0.08638513088226318,0.05605458617210388,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.020709112286567688,connected_topk,random_pixel,attention_connected
36,0.1,1,0.09528672695159912,0.02811300754547119,0.2675926685333252,0.10308570861816406,0.16511213779449463,0.04512650966644287,3,0.2,1,0.2,0,0.8,1,1.0,1,1.0,0.06717371940612793,connected_topk,random_pixel,attention_connected
245,0.1,1,0.2191009819507599,0.040594571828842164,0.34957772493362427,0.14204429388046264,0.24205219745635986,0.07077929973602295,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.17850641012191773,connected_topk,random_pixel,attention_connected
624,0.1,1,0.06195762753486633,0.03793459534645081,0.24071508646011353,0.09583731889724731,0.06566885113716125,0.029575514793395995,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.024023032188415526,connected_topk,random_pixel,attention_connected
163,0.1,2,-0.01425081491470337,-0.001341313123703003,0.3724960684776306,0.11847797632217408,0.05635526776313782,-0.0057788312435150145,-1,-0.2,0,0.0,1,0.2,1,1.0,1,1.0,-0.012909501791000366,connected_topk,random_pixel,attention_connected
307,0.1,1,-0.002494409680366516,0.039463138580322264,0.32673656940460205,0.18769625425338746,0.02239862084388733,0.04142563343048096,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.04195754826068878,connected_topk,random_pixel,attention_connected
525,0.1,1,0.09547662734985352,0.06363070011138916,0.24105507135391235,0.14815962314605713,0.11203378438949585,0.0674208402633667,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.031845927238464355,connected_topk,random_pixel,attention_connected
512,0.1,1,-0.004798263311386108,0.02868696451187134,0.2618408203125,0.12384365797042847,0.030051857233047485,0.04281715154647827,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.03348522782325745,connected_topk,random_pixel,attention_connected
720,0.1,1,-0.002944737672805786,0.00657002329826355,0.2909623980522156,0.17979198694229126,0.07535281777381897,0.03647175431251526,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.009514760971069337,connected_topk,random_pixel,attention_connected
437,0.1,1,0.19928526878356934,0.11019940972328186,0.419103741645813,0.29087080955505373,0.19689440727233887,0.11824334859848022,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.08908585906028747,connected_topk,random_pixel,attention_connected
258,0.1,1,0.05419403314590454,0.019861888885498048,0.28219759464263916,0.10091091394424438,0.06490945816040039,0.020127618312835695,2,1.0,1,0.8,0,0.2,1,1.0,1,1.0,0.0343321442604065,connected_topk,random_pixel,attention_connected
249,0.1,1,-0.03641176223754883,0.005042564868927002,0.30111193656921387,0.16392199993133544,0.11724966764450073,0.08597111701965332,0,0.4,0,0.2,1,0.8,1,1.0,1,1.0,-0.04145432710647583,connected_topk,random_pixel,attention_connected
476,0.1,1,-0.033909738063812256,-0.027737534046173094,0.3498486280441284,0.20178831815719606,0.0589139461517334,0.02687919735908508,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.0061722040176391615,connected_topk,random_pixel,attention_connected
18,0.1,1,0.01630958914756775,-0.0012497365474700927,0.25869154930114746,0.10588619709014893,0.04754066467285156,0.0192471981048584,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.01755932569503784,connected_topk,random_pixel,attention_connected
358,0.1,1,0.0988810807466507,0.04597490131855011,0.25130558013916016,0.13614524602890016,0.10087841749191284,0.0551203191280365,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.05290617942810059,connected_topk,random_pixel,attention_connected
670,0.1,1,0.11088442802429199,0.034595799446105954,0.3938911557197571,0.20974931716918946,0.1721523404121399,0.09512081146240234,1,0.0,1,0.0,0,1.0,1,1.0,1,1.0,0.07628862857818604,connected_topk,random_pixel,attention_connected
210,0.1,1,0.08328071236610413,0.047054654359817503,0.3309662342071533,0.16564807891845704,0.17160332202911377,0.08421289920806885,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.03622605800628662,connected_topk,random_pixel,attention_connected
549,0.1,1,0.08041590452194214,0.022536709904670715,0.3274914026260376,0.10308772325515747,0.10751032829284668,0.02919376492500305,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.05787919461727142,connected_topk,random_pixel,attention_connected
511,0.1,1,0.06714808940887451,0.0034242868423461914,0.4518861770629883,0.20510289669036866,0.21667513251304626,0.08348798751831055,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.06372380256652832,connected_topk,random_pixel,attention_connected
473,0.1,1,0.14266344904899597,0.0190948486328125,0.4400774836540222,0.10158225297927856,0.1842932403087616,0.030020523071289062,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.12356860041618348,connected_topk,random_pixel,attention_connected
608,0.1,1,0.16111892461776733,0.04365675151348114,0.33599793910980225,0.16429606676101685,0.18053007125854492,0.07179079055786133,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.1174621731042862,connected_topk,random_pixel,attention_connected
409,0.1,1,0.06206342577934265,0.016329723596572875,0.2527589797973633,0.06723031997680665,0.061568766832351685,0.015922302007675172,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.04573370218276977,connected_topk,random_pixel,attention_connected
429,0.1,1,0.1282397210597992,0.07626025676727295,0.3314536213874817,0.17521295547485352,0.12268483638763428,0.08545191884040833,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.05197946429252624,connected_topk,random_pixel,attention_connected
550,0.1,1,0.1682964712381363,0.04556366503238678,0.37373852729797363,0.14053049087524414,0.18540674448013306,0.053118550777435304,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.12273280620574951,connected_topk,random_pixel,attention_connected
275,0.1,1,0.07206475734710693,0.02800811529159546,0.3562229871749878,0.12353931665420533,0.11381390690803528,0.03263821005821228,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.04405664205551148,connected_topk,random_pixel,attention_connected
